name	charge	inchikey
Photon	0	NaN
Oxidized plastoquinone	0	NaN
H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Reduced plastoquinone	0	NaN
O2	0	MYMOFIZGZYHOMD-UHFFFAOYSA-N
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Oxidized plastocyanin	0	NaN
Reduced plastocyanin	0	NaN
Oxidized ferredoxin	0	NaN
Reduced ferredoxin	0	NaN
NADP+	-4	XJLXINKUBYWONI-NNYOXOHSSA-O
NADPH	-4	ACFIXJIJDZMPPO-NNYOXOHSSA-N
Adenosine diphosphate	-3	XTWYTFMLZFPYCI-KQYNXXCUSA-N
Orthophosphate	-2	NBIIXXVUZAFLBC-UHFFFAOYSA-K
Adenosine triphosphate	-4	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
D-ribulose 1,5-bisphosphate	-4	YAHZABJORDUQGO-NQXXGFSBSA-N
CO2	0	CURLTUGMZLYLDI-UHFFFAOYSA-N
(R)-3-phosphoglycerate	-3	OSJPPGNTCRNQQC-UHFFFAOYSA-N
3-Phospho-D-glyceroyl phosphate	-4	LJQLQCAXBUHEAZ-UWTATZPHSA-N
D-Glyceraldehyde 3-phosphate	-2	LXJXRIRHZLFYRP-VKHMYHEASA-N
Dihydroxyacetone phosphate	-2	GNGACRATGGDKBX-UHFFFAOYSA-N
D-Fructose 1,6-bisphosphate	-4	CEHGLSKJDFICTB-PWVOXRODSA-K
D-Fructose 6-phosphate	-2	GSXOAOHZAIYLCY-HSUXUTPPSA-N
Erythrose 4-phosphate	-2	NGHMDNPXVRFFGS-IUYQGCFVSA-N
Xylulose 5-phosphate	-2	FNZLKVNUWIIPSJ-RFZPGFLSSA-N
Sedoheptulose 1,7-bisphosphate	-4	OKHXOUGRECCASI-SHUUEZRQSA-N
Sedoheptulose 7-phosphate	-2	JDTUMPKOJBQPKX-GBNDHIKLSA-N
Ribose 5-phosphate	-2	PPQRONHOSHZGFQ-LMVFSUKVSA-N
Ribulose 5-phosphate	-2	FNZLKVNUWIIPSJ-UHNVWZDZSA-N
D-Glucose 6-phosphate	-2	VFRROHXSMXFLSN-SLPGGIOYSA-N
D-Glucose 1-phosphate	-2	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
ADP-Glucose	-2	WFPZSXYXPSUOPY-ROYWQJLOSA-N
Diphosphate	-4	XPPKVPWEQAFLFU-UHFFFAOYSA-K
Starch, X+1 glucose units	0	NaN
Starch, X+2 glucose units	0	NaN
Starch, X+3 glucose units	0	NaN
Starch, X+5 glucose units	0	NaN
Maltose	0	GUBGYTABKSRVRQ-QUYVBRFLSA-N
D-Glucose	0	WQZGKKKJIJFFOK-GASJEMHNSA-N
Starch, X+1 glucose units	0	NaN
Maltose	0	GUBGYTABKSRVRQ-QUYVBRFLSA-N
Starch, X+2 glucose units	0	NaN
D-Glucose	0	WQZGKKKJIJFFOK-GASJEMHNSA-N
Adenosine triphosphate	-4	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
D-Glucose 6-phosphate	-2	VFRROHXSMXFLSN-SLPGGIOYSA-N
Adenosine diphosphate	-3	XTWYTFMLZFPYCI-KQYNXXCUSA-N
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Orthophosphate	-2	NBIIXXVUZAFLBC-UHFFFAOYSA-K
D-Glucose 1-phosphate	-2	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
D-Glyceraldehyde 3-phosphate	-2	LXJXRIRHZLFYRP-VKHMYHEASA-N
Dihydroxyacetone phosphate	-2	GNGACRATGGDKBX-UHFFFAOYSA-N
